127.0.0.1 - - [28/Aug/2017:00:57:16 +0300] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:57:35 +0300] "GET /LogViewer/Deconnexion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:58:03 +0300] "GET /LogViewer/index.action HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:58:19 +0300] "POST /LogViewer/Connexion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:58:19 +0300] "GET /LogViewer/index.action HTTP/1.1" 200 10687
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:58:38 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:58:41 +0300] "GET /LogViewer/Utilisateur HTTP/1.1" 200 21312
0:0:0:0:0:0:0:1 - - [28/Aug/2017:00:58:46 +0300] "GET /LogViewer/Utilisateur/?item.id=1 HTTP/1.1" 200 20611
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:00:53 +0300] "GET /LogViewer/Utilisateur/edit/?item.id=1 HTTP/1.1" 200 17208
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:00:53 +0300] "GET /LogViewer/Includes/SelectProfil?groupe.id=undefined&item.id=1 HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:03:46 +0300] "GET /LogViewer/Utilisateur HTTP/1.1" 200 21324
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:03:49 +0300] "GET /LogViewer/MesInformations HTTP/1.1" 200 20432
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:12:57 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:13:07 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:13:13 +0300] "GET /LogViewer/Profil/?item.id=1 HTTP/1.1" 200 18133
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:13:22 +0300] "GET /LogViewer/Utilisateur/edit/?item.id=1 HTTP/1.1" 200 17208
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:13:22 +0300] "GET /LogViewer/Includes/SelectProfil?groupe.id=undefined&item.id=1 HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:13:32 +0300] "GET /LogViewer/Agent HTTP/1.1" 200 16917
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:13:35 +0300] "GET /LogViewer/Agent/new HTTP/1.1" 200 15078
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:25 +0300] "GET /LogViewer/Groupe HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:28 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:30 +0300] "GET /LogViewer/Utilisateur HTTP/1.1" 200 21325
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:33 +0300] "GET /LogViewer/Utilisateur/new HTTP/1.1" 200 16909
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:34 +0300] "GET /LogViewer/Includes/SelectProfil?groupe.id=undefined&item.id= HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:38 +0300] "GET /LogViewer/MesInformations HTTP/1.1" 200 20433
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:41 +0300] "GET /LogViewer/Fichier HTTP/1.1" 200 10549
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:43 +0300] "GET /LogViewer/Utilisateur HTTP/1.1" 200 21325
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:45 +0300] "GET /LogViewer/Utilisateur/new HTTP/1.1" 200 16909
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:46 +0300] "GET /LogViewer/Includes/SelectProfil?groupe.id=undefined&item.id= HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:48 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:26:51 +0300] "GET /LogViewer/Profil/new HTTP/1.1" 200 17475
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:10 +0300] "GET /LogViewer/Agent HTTP/1.1" 200 16917
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:13 +0300] "GET /LogViewer/Agent/new HTTP/1.1" 200 15078
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:18 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:22 +0300] "GET /LogViewer/Groupe HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:24 +0300] "GET /LogViewer/Groupe/new HTTP/1.1" 200 13540
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:34 +0300] "GET /LogViewer/index HTTP/1.1" 200 10687
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:37 +0300] "GET /LogViewer/Agent HTTP/1.1" 200 16917
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:42 +0300] "GET /LogViewer/Agent/new HTTP/1.1" 200 15078
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:51 +0300] "GET /LogViewer/Profil HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:27:52 +0300] "GET /LogViewer/Groupe HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:28:00 +0300] "GET /LogViewer/Agent HTTP/1.1" 200 16917
0:0:0:0:0:0:0:1 - - [28/Aug/2017:01:28:02 +0300] "GET /LogViewer/Agent/new HTTP/1.1" 200 15078
